縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
臺中市,南區,住宅大樓,2024Q1,383,32.62,35.18,78,9.9%
新北市,三峽區,住宅大樓,2025Q2,99,41.87,43.34,137,11.5%
臺南市,南區,公寓,2025Q2,25,16.19,21.25,139,24%
新北市,深坑區,住宅大樓,2024Q2,41,39.88,42.27,68,10.8%
高雄市,鹽埕區,透天厝,2025Q4,1,21.53,43.88,128,12.7%
臺中市,北區,透天厝,2025Q4,10,36.29,61.13,116,22.8%
新北市,三峽區,透天厝,2024Q4,18,31.38,43.34,144,13.4%
桃園市,平鎮區,住宅大樓,2025Q2,151,27.33,29.94,121,13.4%
臺北市,信義區,公寓,2024Q4,65,70.52,85.82,93,13.8%
臺南市,佳里區,住宅大樓,2024Q2,72,21.97,24.01,48,11%
桃園市,楊梅區,公寓,2024Q2,57,13.97,19.64,98,18.8%
臺中市,龍井區,公寓,2025Q4,6,22.96,27.95,174,14%
新北市,泰山區,透天厝,2024Q2,6,47.04,94.42,1,28.3%
高雄市,鹽埕區,公寓,2025Q1,5,15.26,22.85,130,23.8%
高雄市,前金區,住宅大樓,2024Q1,124,27.95,34.28,97,11.8%
新北市,鶯歌區,透天厝,2025Q2,20,30.69,48.22,128,12.6%
臺北市,松山區,住宅大樓,2024Q1,227,94.81,100.59,103,9.6%
新北市,深坑區,住宅大樓,2024Q3,23,37.25,44.48,77,11%
臺北市,中山區,透天厝,2025Q3,1,124.77,213.72,NULL,NULL
臺中市,南屯區,住宅大樓,2024Q2,625,42.28,44.47,88,8.4%
臺南市,新營區,透天厝,2025Q3,48,22.63,27.49,105,17.2%
桃園市,中壢區,住宅大樓,2025Q2,543,35,40.53,118,12.9%
臺中市,大雅區,透天厝,2025Q4,13,35.51,42.67,200,21%
新北市,中和區,公寓,2025Q4,60,43.07,53.56,126,17.3%
臺中市,豐原區,公寓,2024Q4,4,23.58,28.44,147,13.6%
新北市,三重區,透天厝,2025Q4,6,63.11,100.07,144,29.8%
高雄市,前鎮區,公寓,2024Q2,60,17.54,21.42,132,17%
臺中市,中區,住宅大樓,2024Q1,88,23.21,30.24,106,14.9%
新北市,五股區,公寓,2024Q1,18,26.02,35.74,46,9.7%
臺南市,中西區,公寓,2024Q2,21,18.36,24.01,122,13.6%
臺北市,萬華區,住宅大樓,2025Q3,94,72.15,82.28,120,14.8%
新北市,永和區,住宅大樓,2024Q2,243,66.66,72.13,65,10.4%
臺北市,南港區,住宅大樓,2024Q4,82,89.12,99.11,89,12.4%
新北市,淡水區,住宅大樓,2025Q1,657,34.11,36.66,114,11.2%
桃園市,桃園區,住宅大樓,2024Q3,872,37.69,38.02,60,9.7%
桃園市,大園區,公寓,2024Q2,11,15.24,22.87,80,22.2%
臺中市,西屯區,公寓,2025Q2,31,33.74,35.71,111,18%
臺中市,中區,公寓,2025Q3,2,20.89,31.17,86,12.4%
新北市,泰山區,住宅大樓,2024Q3,64,46.57,48.2,55,8.2%
高雄市,苓雅區,住宅大樓,2024Q1,530,31.85,30.99,90,11.4%
桃園市,大園區,透天厝,2025Q2,51,30.18,38.31,130,20.6%
臺南市,北區,公寓,2024Q4,15,16.87,20.56,84,17.2%
臺南市,新營區,住宅大樓,2024Q1,70,20.69,19.37,101,12.8%
高雄市,前鎮區,透天厝,2025Q2,42,31.03,48.43,132,18.3%
臺北市,萬華區,透天厝,2024Q4,8,64.36,129.55,77,10.8%
臺北市,信義區,透天厝,2024Q4,3,130.23,137.64,72,24.9%
新北市,永和區,透天厝,2024Q2,8,93.47,131.83,62,15.2%
高雄市,鹽埕區,住宅大樓,2024Q4,24,20,42.12,84,18%
臺中市,豐原區,住宅大樓,2025Q1,70,29.08,34.06,114,11.7%
臺北市,大安區,住宅大樓,2025Q2,251,117.45,132.16,105,11%
臺中市,太平區,住宅大樓,2025Q2,160,31.65,34.8,138,11.9%
桃園市,蘆竹區,住宅大樓,2025Q2,187,33.01,35.81,110,12.1%
桃園市,平鎮區,透天厝,2024Q2,183,27.82,39.96,119,17%
高雄市,苓雅區,公寓,2025Q3,41,16.13,23.24,118,20.6%
高雄市,岡山區,住宅大樓,2025Q2,32,23.81,29.84,110,14.3%
臺中市,潭子區,公寓,2025Q1,2,24.52,28.99,7,15.4%
